Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Main Category
Milan Central zone,45.4668,9.1905,Ristorante Trussardi alla Scala,45.467036234607484,9.18951188971359,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Luini,45.465707270425064,9.191430566038733,Bakery,food
Milan Central zone,45.4668,9.1905,VUN Andrea Aprea,45.46528959918064,9.189132526222204,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Panini Durini,45.465238392719286,9.18859009871778,Sandwich Place,food
Milan Central zone,45.4668,9.1905,Langosteria Café,45.46475951105088,9.194898655099053,Bistro,food
Milan Central zone,45.4668,9.1905,Galleria Ristorante Pizzeria,45.465880666740375,9.190024718474266,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,La Veranda,45.469293047379345,9.195544110742077,Mediterranean Restaurant,food
Milan Central zone,45.4668,9.1905,Bvlgari Ristorante,45.47000473202867,9.188943329193505,Restaurant,food
Milan Central zone,45.4668,9.1905,Bice,45.47015162771649,9.194139731497588,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Piz,45.462163,9.185767,Pizza Place,food
Milan Central zone,45.4668,9.1905,Salsamenteria di Parma,45.46630906484935,9.195517875584027,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Il Salumaio di Montenapoleone,45.46988,9.1946,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Caffè Napoli,45.462816426798085,9.189022685823147,Café,food
Milan Central zone,45.4668,9.1905,Hana,45.46238045475964,9.188521336800811,Korean Restaurant,food
Milan Central zone,45.4668,9.1905,Non è Peccato,45.46914588111431,9.187462973124525,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Nobu,45.47097444286393,9.192958023475091,Japanese Restaurant,food
Milan Central zone,45.4668,9.1905,Andry,45.46724,9.18445,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Risoelatte,45.46651401339931,9.183261897689764,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Five Guys,45.46611896800929,9.196627988069478,Burger Joint,food
Milan Central zone,45.4668,9.1905,Paper Moon,45.467403080127916,9.196873143040188,Pizza Place,food
Milan Central zone,45.4668,9.1905,B Café,45.46264,9.183381,Café,food
Milan Central zone,45.4668,9.1905,Princi,45.469258043845535,9.185450077056885,Bakery,food
Milan Central zone,45.4668,9.1905,SUSHI B,45.472152817711006,9.186882902520615,Japanese Restaurant,food
Milan Central zone,45.4668,9.1905,Princi,45.468876534217785,9.199125369977203,Bakery,food
Milan Central zone,45.4668,9.1905,La Sardina Innamorata,45.46304105651267,9.196209774001318,Sardinian Restaurant,food
Milan Central zone,45.4668,9.1905,La Piadineria,45.46245925204368,9.187074113641895,Piadineria,food
Milan Central zone,45.4668,9.1905,Convivium,45.47039,9.18467,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Da Puccini,45.46715680731585,9.181548151632873,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Panini Durini,45.465467088499665,9.198214087171793,Sandwich Place,food
Milan Central zone,45.4668,9.1905,La Prosciutteria,45.474152249384275,9.183449149009013,Sandwich Place,food
Milan Central zone,45.4668,9.1905,Ristorante Emilia & Carlo,45.469589491409465,9.184553631112177,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Zen Sushi Restaurant,45.4597,9.18867,Japanese Restaurant,food
Milan Central zone,45.4668,9.1905,Princi,45.46302917028038,9.187967969165536,Bakery,food
Milan Central zone,45.4668,9.1905,Nerino Dieci,45.46109114647391,9.18334568221691,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Temakinho Brera,45.4746512477258,9.183356059190302,Sushi Restaurant,food
Milan Central zone,45.4668,9.1905,Da Zero - Pizza e Territorio,45.46433730683985,9.179309622074877,Pizza Place,food
Milan Central zone,45.4668,9.1905,Valentino Ristorante,45.46693753715295,9.200123749167902,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Circus Cafe,45.461491,9.180813,Café,food
Milan Central zone,45.4668,9.1905,l'arabesque Milano,45.46316930355682,9.19860171909952,Restaurant,food
Milan Central zone,45.4668,9.1905,Yokohama Flavour Journey Cuisine,45.459651,9.191617,Sushi Restaurant,food
Milan Central zone,45.4668,9.1905,Felice A Testaccio,45.46024546967407,9.18088280707489,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,93 gradi,45.467155,9.201183,Bistro,food
Milan Central zone,45.4668,9.1905,Antica Osteria Stendhal,45.473977893737484,9.187678472926805,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,De Santis,45.46573894898457,9.179757996453052,Sandwich Place,food
Milan Central zone,45.4668,9.1905,Le Petit Bistrot,45.46684486985102,9.181303176543873,Café,food
Milan Central zone,45.4668,9.1905,Wicky's Cuisine,45.45973932285244,9.187960624694824,Japanese Restaurant,food
Milan Central zone,45.4668,9.1905,Bar del Carmine,45.47020244214919,9.185109025513606,Café,food
Milan Central zone,45.4668,9.1905,Scriptorium Cafè,45.465159885442084,9.17709300511222,Café,food
Milan Central zone,45.4668,9.1905,Ristorante Yazawa,45.475806,9.189566,Shabu-Shabu Restaurant,food
Milan Central zone,45.4668,9.1905,Cantina della Vetra,45.4587044832897,9.182060692582585,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Trattoria Del Corso,45.47261947676569,9.183864689778568,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Patti Bakery & Bistrot,45.46690266968197,9.183734598508348,Bakery,food
Milan Central zone,45.4668,9.1905,La Tartina,45.471540100843235,9.184848608925677,Tapas Restaurant,food
Milan Central zone,45.4668,9.1905,La Dogana Del Buon Gusto,45.457296,9.181781,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Hamerica's,45.459639,9.181071,Burger Joint,food
Milan Central zone,45.4668,9.1905,Pizza Am,45.4555208930837,9.19678789241498,Pizza Place,food
Milan Central zone,45.4668,9.1905,Viva,45.45625017892647,9.195423303970793,Salad Place,food
Milan Central zone,45.4668,9.1905,La Vecchia Guardia,45.45711157303401,9.199247426886927,Restaurant,food
Milan Central zone,45.4668,9.1905,al Pozzo,45.47151986365616,9.18478480173157,Italian Restaurant,food
Milan Central zone,45.4668,9.1905,Caffè Majestic,45.46754857631377,9.183229640751927,Café,food
Milan Central zone,45.4668,9.1905,TIBI - Bistrot Provencal,45.47568,9.189468,Diner,food
